IFNC - Carteira do Dia 08/03/21
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;73.745.621;0,239;
B3SA3;B3;ON      NM;1.774.122.769;20,293;
BMGB4;BANCO BMG;PN      N1;103.934.988;0,108;
BIDI4;BANCO INTER;PN      N2;33.407.852;0,337;
BIDI11;BANCO INTER;UNT     N2;147.748.642;4,525;
BPAN4;BANCO PAN;PN      N1;341.124.068;0,901;
BRSR6;BANRISUL;PNB EJ  N1;202.531.540;0,529;
BBSE3;BBSEGURIDADE;ON      NM;671.584.841;3,420;
BBDC3;BRADESCO;ON  EJ  N1;918.964.418;4,190;
BBDC4;BRADESCO;PN  EJ  N1;3.125.307.969;15,846;
BBAS3;BRASIL;ON      NM;1.283.197.221;7,951;
BPAC11;BTGP BANCO;UNT     N2;263.871.572;5,175;
CIEL3;CIELO;ON      NM;1.112.196.638;0,804;
IRBR3;IRBBRASIL RE;ON      NM;1.255.327.516;1,566;
ITSA4;ITAUSA;PN  ED  N1;4.515.538.171;9,481;
ITUB3;ITAUUNIBANCO;ON  EDJ N1;255.886.195;1,286;
ITUB4;ITAUUNIBANCO;PN  EDJ N1;3.165.486.658;17,709;
PSSA3;PORTO SEGURO;ON      NM;93.637.072;0,826;
SANB11;SANTANDER BR;UNT;355.666.691;2,914;
SULA11;SUL AMERICA;UNT     N2;279.572.852;1,900;
Quantidade Teórica Total;;;19.972.853.294;100,000
Redutor;;;43.990.718,36852672
